СЛОВО;ПЕРЕВОД
"who (кто-либо); which (что-либо)";который, -ая
beautiful;красивый, -ая
except;кроме
who?;кто?
somebody;кто-нибудь
buy;купить
piece, bit;кусок
left;левый, -ая
(on the left);(слева)
easy;легкий, -ая (нетрудный)
light;легкий, -ая (не тяжелый)
lie;лежать
"lie down; go to bed";лечь
better;лучше
best;"лучше всего; лучший, -ая"
love;любить
people;люди
shop;магазин
small;маленький, -ая
boy;мальчик
mother;мать
car;машина
slow;медленный, -ая
between;между
dead;мертвый, -ая
place;место
month;месяц
minute (Just a moment!);минута (Одну минуту!)
world;мир (земля)
much;много (нельзя сосчитать)
many;много (можно сосчитать)
young;молодой, -ая
can;мочь (например, физически)
may;мочь (например, иметь разрешение)
husband;муж
man;мужчина
wash;мыть
on;на
up;наверх
up;наверху
over;над
hope;надеяться
ago (days ago);назад (дня назад)
find;найти
finally;наконец
tax (VAT);налог (НДС)
people;народ
out;наружу
begin;начать
not;не
wrong;неверный, -ая
impossible;невозможный, -ая
week;неделя
immediately;немедленно
a little;немного
necessary;необходимый, -ая
several;несколько
accident;несчастный случай
no;нет
low;низкий, -ая
never;никогда
nobody;никто
nothing;ничего
but;но
new;новый, -ая
news;новости
foot;нога
night;ночь
like;нравиться
need;нуждаться
about;о
both;оба, -е
worried (about);обеспокоен (из-за)
promise;обещать
teach;обучить
usually;обычно
common, usual;обычный, -ая
clothes;одежда
alone;одинокий, -ая
once;однажды
lend (to);одолжить (кому-либо)
borrow (from);одолжить (у кого-либо)
about;около (примерно)
near;(близко)
dangerous;опасный, -ая
again;опять
especially;особенно
leave;оставить
stop;остановить
stop;остановиться
stay;остаться
from;от
answer;ответить
father;отец
open;открыть
with pleasure;охотно
very;очень
mistake;ошибка
first;первый, -ая
translate;переводить
in front of (the house);перед (домом)
sing;петь
sad;печальный, -ая
write;писать
drink;пить
letter;письмо
cry;плакать
pay;платить
bad;плохой, -ая
at least;по меньшей мере
towards;по направлению к
weather;погода
try;пробовать
under;под
let;позволить
late;поздний, -ая
not yet;пока нет
show;показать
full;полный, -ая
put;положить
get;получить
half an hour;полчаса
help;помочь
understand;понять
send;послать
after;после
last;последний, -ая
gradually;постепенно
then;потом
ground;почва
why?;почему?
almost;почти
right;прав, -а
right;правый, -ая
(on the right);(справа)
suggest;предложить
beautiful;прекрасный, -ая
arrive;прибыть
bring;привезти
used to (good food / flying);привык, -ла (к хорошей еде / к полетам)
come;прийти
fetch (bring);принести
reason (for);причина
nice;приятный, -ая
continue;продолжить
try;пробовать
check;проверить
sell;продать
against;против
empty;пустой, -ая
journey;путешествие
travel;путешествовать
work;работать
glad;рад, -а
time;раз
different;различный, -ая
early;ранний, -ая
child;ребенок
relative;родственник, -ица
mouth;рот
hand;рука
pen;ручка
with;с
since that time;с тех пор
light;свет
free;свободный, -ая
today;сегодня
family;семья
angry (at);сердитый, -ая (на)
heart;сердце
sister;сестра
strong;сильный, -ая
say;сказать
through;сквозь
how many?;сколько? (можно сосчитать)
how much?;сколько? (нельзя сосчитать)
soon;скоро
boring;скучный, -ая
should;следовало бы
next;следующий, -ая
too;слишком
word;слово
listen (to);слушать
hear;слышать
funny;смешной, -ая
laugh (at);смеяться (над)
look (at);смотреть (на)
first;сначала
collect;собрать
completely;совершенно
according to;согласно
sun;солнце
sort;сорт
sleep;спать
"calm; quiet";спокойный, -ая
way;способ
ask;спросить
urgent;срочный, -ая
old;старый, -ая
become;стать
side;сторона
stand;стоять
country;страна
page;страница
strange;странный, -ая
bag;сумка
dry;сухой, -ая
happy, glad;счастливый, -ая
son;сын
surprise;сюрприз
so;так
as;так как (поскольку)
because;так как (потому что)
"too; also";также
such;такой, -ая
there;там
hard;твердый, -ая
now;теперь
warm;теплый, -ая
lose;терять
then;тогда
only;только
just;только что
that;тот, та
those;те
same;тот же самый (та же самая)
exactly;точно
difficult;трудный, -ая
heavy;тяжелый, -ая
at;у
certain;уверен, -а
surprised (at);удивлен, -а
terrible;ужасный, -ая
already;уже
street;улица
fall;упасть
use;употребить
drop;уронить
tired;усталый, -ая
morning;утро
(in the morning);(утром)
teacher;учитель
bread;хлеб
cold;холодный, -ая
good;хороший, -ая
well;хорошо
want;хотеть
"(I want to see; I want a book)";"(я хочу видеть; я хочу книгу)"
although;хотя
keep;хранить
worse;худший, -ая
(worst);(наихудший, -ая)
colour;цвет
whole;целый, -ая
price;цена
hour;час
often;часто
part;часть
watch;часы
than;чем
person;человек
suitcase;чемодан
clean;чистый, -ая
read;читать
that;что
what?;что?
something;что-нибудь
feel;чувствовать
wonderful;чудесный
school;школа
noise;шум
joke;шутить
this;этот, эта,
these;эти
language;язык
clear;ясный, -ая
